"GEO LEVEL","GEO COMPARISON","YEAR","GEO UNIT","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV150","M_POV150","E_UNEMP","M_UNEMP","E_HBURD","M_HBURD","E_NOHSDP","M_NOHSDP","E_UNINSUR","M_UNINSUR","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_LIMENG","M_LIMENG","E_MINRTY","M_MINRTY","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV150","MP_POV150","EP_UNEMP","MP_UNEMP","EP_HBURD","MP_HBURD","EP_NOHSDP","MP_NOHSDP","EP_UNINSUR","MP_UNINSUR","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_LIMENG","MP_LIMENG","EP_MINRTY","MP_MINRTY","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_Total","E_DAYPOP","E_NOINT","M_NOINT","E_AFAM","M_AFAM","E_HISP","M_HISP","E_ASIAN","M_ASIAN","E_AIAN","M_AIAN","E_NHPI","M_NHPI","E_TWOMORE","M_TWOMORE","E_OTHERRACE","M_OTHERRACE","EP_NOINT","MP_NOINT","EP_AFAM","MP_AFAM","EP_HISP","MP_HISP","EP_ASIAN","MP_ASIAN","EP_AIAN","MP_AIAN","EP_NHPI","MP_NHPI","EP_TWOMORE","MP_TWOMORE","EP_OTHERRACE","MP_OTHERRACE"
"County","state","2020","county","18","Indiana","IN","18001","Adams County","18001","35544","0","13328","106","12512","261","10299","1244","482","150","2681","360","3193","475","6831","775","5451","51","11176","40","3984","454","574","187","389","193","2383","182","731","176","446","163","474","143","1444","215","575","268","29.5","3.6","3","0.9","21.4","2.8","15","2.2","19.5","2.2","15.3","0.1","31.4","0.1","11.3","1.3","4.6","1.5","1.2","0.6","6.7","0.5","5.5","1.3","3.3","1.2","3.8","1.1","11.5","1.7","1.6","0.8","0.9231","0.1429","0.5275","0.8791","0.978","3.4506","0.8571","0.1099","0.989","0.0769","0.2088","0.8022","2.1868","0.3187","0.4835","0.4835","0.4835","0.7363","0.1429","0.956","0.978","0.4835","3.2967","0.8242","9.4176","0.7253","1","0","0","0","1","2","0","1","0","0","0","1","0","0","0","0","1","1","0","2","","32590","10701","1254","352","78","1626","0","91","43","17","25","0","26","188","83","109","109","30.6","0.2","1","0.2","4.6","0","0.3","0.1","0","0.1","0","0.1","0.5","0.2","0.3","0.4"
"County","state","2020","county","18","Indiana","IN","18003","Allen County","18003","375520","0","159424","213","147043","838","81275","3144","9760","911","31632","1354","24743","1270","29921","1914","54745","42","96482","44","47056","1468","11274","709","6868","678","100798","1884","15391","1031","5119","476","2123","333","8465","742","5586","473","22","0.9","5","0.5","21.5","0.9","10.1","0.5","8","0.5","14.6","0.1","25.7","0","12.7","0.4","7.7","0.5","2","0.2","26.8","0.5","9.7","0.6","3.2","0.3","1.4","0.2","5.8","0.5","1.5","0.1","0.5604","0.7473","0.978","0.3846","0.6264","3.2967","0.7802","0.0769","0.9231","0.1538","0.8791","0.9011","2.934","0.7802","0.967","0.967","0.967","0.9341","0.1319","0.4066","0.6374","0.4066","2.5166","0.5714","9.7143","0.7912","0","0","1","0","0","1","0","1","0","0","1","2","1","1","1","0","0","0","0","1","","407538","36296","2150","41860","1179","28676","0","15692","478","485","150","124","67","13033","1271","928","928","9.8","0","11.1","0.3","7.6","0","4.2","0.1","0.1","0.1","0","0.1","3.5","0.3","0.2","0.1"
"County","state","2020","county","18","Indiana","IN","18005","Bartholomew County","18005","83280","0","34480","90","31772","473","16210","1664","1850","362","5836","536","5646","781","6406","837","13396","166","19937","57","11656","921","1977","387","954","272","16166","591","2665","356","2123","393","671","200","1543","334","993","203","19.7","2","4.4","0.9","18.4","1.7","10","1.4","7.8","1","16.1","0.2","23.9","0.1","14.1","1.1","6.2","1.2","1.2","0.3","19.4","0.7","7.7","1","6.2","1.1","2.1","0.6","4.9","1","1.2","0.2","0.4396","0.5604","0.7692","0.3736","0.5824","2.7252","0.6044","0.1648","0.7473","0.3516","0.6154","0.8022","2.6813","0.6593","0.9121","0.9121","0.9121","0.8681","0.4615","0.6813","0.4505","0.2418","2.7032","0.6374","9.0218","0.6813","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","93194","9878","1293","1259","214","6018","0","6579","249","103","54","0","29","1828","323","379","379","12","0","1.5","0.3","7.2","0","7.9","0.3","0.1","0.1","0","0.1","2.2","0.4","0.5","0.4"
"County","state","2020","county","18","Indiana","IN","18007","Benton County","18007","8695","0","3917","49","3435","119","2525","300","143","61","678","118","615","103","784","181","1536","22","2173","17","1596","165","286","79","40","59","681","47","65","30","116","61","96","46","142","55","119","73","29.5","3.5","3.3","1.4","19.7","3.4","10.5","1.8","9.1","2.1","17.7","0.2","25","0.2","18.5","1.9","8.3","2.3","0.5","0.7","7.8","0.5","1.7","0.8","3","1.5","2.8","1.3","4.1","1.6","1.4","0.8","0.9231","0.1978","0.033","0.4396","0.7692","2.3627","0.3956","0.4725","0.8791","0.8462","0.9451","0.4176","3.5605","0.989","0.5275","0.5275","0.5275","0.1319","0.1099","0.8571","0.3077","0.3516","1.7582","0.1648","8.2089","0.5824","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","","7112","1049","193","50","29","473","0","7","9","0","17","13","13","138","29","0","0","12.2","0.1","0.6","0.3","5.4","0","0.1","0.1","0","0.4","0.1","0.1","1.6","0.3","0","0.4"
"County","state","2020","county","18","Indiana","IN","18009","Blackford County","18009","11926","0","6013","27","5105","192","3481","482","321","117","1333","262","754","151","597","164","2546","31","2618","30","2515","299","261","93","11","76","552","107","224","102","296","98","54","44","542","171","149","37","29.7","4.1","6.1","2.2","26.1","5","8.9","1.8","5.1","1.4","21.3","0.3","22","0.3","21.4","2.5","5.1","1.8","0.1","0.7","4.6","0.9","3.7","1.7","4.9","1.6","1.1","0.9","10.6","3.2","1.2","0.3","0.967","0.9231","0.1758","0.2088","0.1538","2.4285","0.4286","0.978","0.3407","0.978","0.3297","0.0549","2.6813","0.6593","0.1319","0.1319","0.1319","0.4835","0.3297","0.2418","0.967","0.2418","2.2638","0.4176","7.5055","0.4066","1","1","0","0","0","2","1","0","1","0","0","2","0","0","0","0","0","1","0","1","","9951","2141","491","52","66","207","0","39","46","29","34","0","19","225","59","0","0","18.2","0.1","0.4","0.6","1.7","0","0.3","0.4","0.2","0.3","0","0.3","1.9","0.5","0","0.3"
"County","state","2020","county","18","Indiana","IN","18011","Boone County","18011","66875","0","27574","93","25822","464","6550","830","1214","341","4606","523","2401","401","3016","628","8812","80","17618","67","6213","694","1454","367","565","209","6724","369","2088","368","901","181","177","100","777","185","647","191","9.9","1.3","3.4","0.9","17.8","2","5.4","0.9","4.6","0.9","13.2","0.1","26.3","0.1","9.4","1","5.6","1.4","0.9","0.3","10.1","0.6","7.6","1.3","3.3","0.7","0.7","0.4","3","0.7","1","0.3","0.022","0.2308","0.7253","0.011","0.0659","1.055","0.033","0.044","0.9451","0.011","0.4505","0.7143","2.1649","0.3077","0.6593","0.6593","0.6593","0.8462","0.1429","0.0549","0.1099","0.1319","1.2858","0.0549","5.165","0.0769","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","65741","4524","759","1177","158","2108","0","2116","200","74","41","0","29","1187","248","62","62","6.8","0","1.8","0.2","3.2","0","3.2","0.3","0.1","0.1","0","0.1","1.8","0.4","0.1","0.1"
"County","state","2020","county","18","Indiana","IN","18013","Brown County","18013","15093","0","8736","65","6372","291","2533","547","327","114","1525","274","763","148","1287","286","3671","60","2668","78","2143","346","333","139","51","83","693","136","277","87","557","187","255","144","124","69","143","133","17","3.7","4.2","1.5","23.9","4.2","6.6","1.3","8.6","1.9","24.3","0.4","17.7","0.5","14.3","2.3","5.2","2.2","0.4","0.6","4.6","0.9","3.2","1","6.4","2.1","4","2.3","1.9","1.1","0.9","0.9","0.2418","0.4945","0.2308","0.0549","0.7363","1.7583","0.2747","1","0.011","0.3846","0.3407","0.3407","2.077","0.2418","0.1319","0.1319","0.1319","0.4176","0.4725","0.967","0.011","0.0659","1.934","0.2637","5.9012","0.1758","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","","10549","1934","404","184","88","272","0","29","31","0","19","0","19","208","96","0","0","12.9","0.1","1.2","0.6","1.8","0","0.2","0.2","0","0.2","0","0.2","1.4","0.6","0","0.2"
"County","state","2020","county","18","Indiana","IN","18015","Carroll County","18015","20137","0","9643","56","8123","222","3425","505","258","98","1348","224","1693","254","1928","469","3943","51","4475","0","3013","330","382","101","57","101","1300","118","165","70","552","151","131","54","305","108","115","33","17.2","2.5","2.6","1","16.6","2.7","12","1.8","9.6","2.3","19.6","0.3","22.2","0","15","1.6","4.7","1.2","0.3","0.5","6.5","0.6","1.7","0.7","5.7","1.6","1.6","0.7","3.8","1.3","0.6","0.2","0.2637","0.0659","0.1868","0.6703","0.8022","1.9889","0.3187","0.7912","0.4176","0.4835","0.2198","0.2198","2.1319","0.2747","0.4505","0.4505","0.4505","0.1319","0.3956","0.5165","0.2088","0.022","1.2748","0.044","5.8461","0.1648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","15097","3420","529","115","75","867","0","40","44","22","28","0","23","232","66","24","24","17.1","0","0.6","0.4","4.3","0","0.2","0.2","0.1","0.1","0","0.2","1.2","0.3","0.1","0.2"
"County","state","2020","county","18","Indiana","IN","18017","Cass County","18017","37727","0","16362","135","14950","269","9702","987","827","198","2745","287","3827","393","3018","462","6648","94","8697","29","5452","485","1037","260","1177","283","7918","378","365","127","822","161","237","106","846","193","1242","323","26.5","2.7","4.4","1.1","18.4","1.9","14.8","1.5","8.2","1.3","17.6","0.3","23.1","0.1","14.8","1.3","6.9","1.7","3.3","0.8","21","1","2.2","0.8","5","1","1.6","0.7","5.7","1.3","3.3","0.9","0.8242","0.5604","0.5385","0.8462","0.6593","3.4286","0.8352","0.4396","0.6044","0.4505","0.7912","0.967","3.2527","0.9121","0.9231","0.9231","0.9231","0.2418","0.3516","0.5165","0.6264","0.7582","2.4945","0.5604","10.0989","0.8571","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","","35338","6712","912","428","129","5922","0","534","197","112","48","18","34","864","267","40","40","18.4","0.2","1.1","0.3","15.7","0","1.4","0.5","0.3","0.1","0","0.1","2.3","0.7","0.1","0.1"
"County","state","2020","county","18","Indiana","IN","18019","Clark County","18019","117410","0","51138","164","45024","646","21888","1499","2532","384","9956","757","7953","741","7562","797","18308","126","26446","53","15536","848","2588","328","1071","293","20654","1115","3938","489","2766","411","687","247","2033","323","1651","370","19","1.3","4.1","0.6","22.1","1.7","9.8","0.9","6.5","0.7","15.6","0.1","22.5","0","13.4","0.7","5.7","0.7","1","0.3","17.6","0.9","7.7","1","5.4","0.8","1.5","0.5","4.5","0.7","1.4","0.3","0.4066","0.4725","0.8352","0.3297","0.3077","2.3517","0.3846","0.1319","0.4945","0.2418","0.4835","0.7582","2.1099","0.2527","0.8791","0.8791","0.8791","0.8681","0.3846","0.4396","0.3626","0.3516","2.4065","0.4505","7.7472","0.4835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","114471","17941","1783","7386","673","6450","0","1069","164","47","63","16","26","5129","734","557","557","15.5","0.1","6.3","0.6","5.5","0","0.9","0.1","0","0.1","0","0.1","4.4","0.6","0.5","0.4"
"County","state","2020","county","18","Indiana","IN","18021","Clay County","18021","26231","0","11773","77","10454","312","5190","745","580","153","1678","303","1680","326","1227","331","4823","88","6097","92","4886","527","802","209","112","114","1142","168","243","105","1164","256","216","111","403","110","571","189","20.4","2.9","4.6","1.2","16.1","2.9","9.2","1.8","4.8","1.3","18.4","0.3","23.2","0.4","19","2","7.7","2","0.5","0.5","4.4","0.6","2.1","0.9","9.9","2.2","2.1","1.1","3.9","1.1","2.2","0.7","0.4725","0.6703","0.2747","0.2527","0.0879","1.7581","0.2637","0.6374","0.6154","0.9011","0.8791","0.4176","3.4506","0.956","0.0879","0.0879","0.0879","0.2198","0.7033","0.6813","0.2527","0.6923","2.5494","0.5934","7.846","0.4945","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","22428","3961","684","151","63","393","0","66","31","41","36","6","11","482","147","3","3","15.4","0.1","0.6","0.2","1.5","0","0.3","0.1","0.2","0.1","0","0.1","1.8","0.6","0","0.1"
"County","state","2020","county","18","Indiana","IN","18023","Clinton County","18023","32186","0","13376","79","12144","237","6996","721","564","143","2614","307","2807","297","3069","501","5286","110","8439","33","4122","432","663","193","1096","229","5854","127","585","157","510","134","237","102","742","175","589","160","22.3","2.3","3.6","0.9","21.5","2.5","13.2","1.4","9.7","1.6","16.4","0.3","26.2","0.1","13","1.4","5.5","1.6","3.7","0.8","18.2","0.4","4.4","1.2","3.8","1","2","0.8","6.1","1.4","1.8","0.5","0.5714","0.3297","0.5055","0.7802","0.8242","3.011","0.7033","0.2308","0.9341","0.2088","0.4066","1","2.7803","0.7363","0.9011","0.9011","0.9011","0.5824","0.2198","0.6703","0.7033","0.5714","2.7472","0.6703","9.4396","0.7363","0","0","0","0","0","0","0","1","0","0","1","2","1","1","0","0","0","0","0","0","","26147","5803","753","185","72","5174","0","92","42","1","2","12","16","368","92","22","22","18.4","0.1","0.6","0.2","16.1","0","0.3","0.1","0","0.1","0","0.1","1.1","0.3","0.1","0.1"
"County","state","2020","county","18","Indiana","IN","18025","Crawford County","18025","10582","0","5568","52","4117","177","3245","495","130","72","789","168","1283","241","766","195","2107","49","2360","65","1900","197","139","68","7","74","442","84","51","23","1383","213","85","42","181","73","105","125","31.2","4.7","2.9","1.6","19.2","4","17.2","3.2","7.3","1.8","19.9","0.5","22.3","0.6","18.1","1.9","3.4","1.6","0.1","0.7","4.2","0.8","0.9","0.4","24.8","3.9","2.1","1","4.4","1.7","1","1.2","0.978","0.1209","0.0659","0.956","0.4615","2.5823","0.5055","0.8681","0.4615","0.8242","0.0659","0.0549","2.2746","0.4066","0.0769","0.0769","0.0769","0.0549","1","0.6813","0.3516","0.1319","2.2197","0.3956","7.1535","0.3516","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","1","","7368","3001","473","40","54","169","0","0","19","13","20","0","19","209","56","11","11","28.6","0.3","0.4","0.5","1.6","0","0","0.3","0.1","0.2","0","0.3","2","0.5","0.1","0.2"
"County","state","2020","county","18","Indiana","IN","18027","Daviess County","18027","33277","0","12565","57","11354","226","7846","918","534","196","2233","331","4962","418","8378","808","5120","82","9758","30","4676","469","556","182","527","231","3482","557","503","103","1005","204","645","243","1795","258","586","131","24","2.8","3.5","1.3","19.7","2.9","24","2","25.6","2.5","15.4","0.2","29.3","0.1","14.3","1.4","4.9","1.6","1.7","0.8","10.5","1.7","4","0.8","8","1.6","5.7","2.1","15.8","2.2","1.8","0.4","0.6813","0.3077","0.4066","0.989","0.989","3.3736","0.8132","0.1209","0.978","0.3846","0.2857","0.8681","2.6373","0.6484","0.6703","0.6703","0.6703","0.5385","0.6154","1","0.989","0.5714","3.7143","0.967","10.3955","0.9231","0","0","0","1","1","2","0","1","0","0","0","1","0","0","0","0","1","1","0","2","","29266","8950","1035","571","115","1777","0","76","51","0","26","8","20","945","520","105","105","27.4","0.1","1.7","0.3","5.3","0","0.2","0.2","0","0.1","0","0.1","2.8","1.6","0.3","0.5"
"County","state","2020","county","18","Indiana","IN","18029","Dearborn County","18029","49612","0","20596","74","19279","288","7353","869","884","188","3942","446","3361","362","2452","499","8676","67","11170","52","6696","653","1169","266","94","107","1910","247","1049","230","704","183","170","78","787","198","565","147","15","1.8","3.4","0.7","20.4","2.3","9.7","1","5","1","17.5","0.1","22.5","0.1","13.6","1.3","6.1","1.4","0.2","0.2","3.8","0.5","5.1","1.1","3.4","0.9","0.9","0.4","4.1","1","1.1","0.3","0.0989","0.2308","0.7033","0.3077","0.1209","1.4616","0.1868","0.4286","0.4945","0.3077","0.5824","0.1538","1.967","0.1868","0.033","0.033","0.033","0.6813","0.1758","0.1538","0.3077","0.2088","1.5274","0.1209","4.989","0.0549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","39345","5183","754","333","179","667","0","275","48","32","32","34","49","546","148","23","23","10.6","0","0.7","0.4","1.3","0","0.6","0.1","0.1","0.1","0.1","0.1","1.1","0.3","0","0.1"
"County","state","2020","county","18","Indiana","IN","18031","Decatur County","18031","26587","0","11436","59","10241","256","4488","688","548","138","1876","290","1489","273","1545","373","4452","81","6379","73","3207","315","291","109","23","87","1428","159","635","228","521","148","85","56","432","149","393","138","17.2","2.6","4","1","18.3","2.8","8.3","1.5","5.9","1.4","16.7","0.3","24","0.3","12.2","1.2","2.8","1.1","0.1","0.3","5.4","0.6","5.6","2","4.6","1.3","0.8","0.5","4.2","1.4","1.5","0.5","0.2637","0.4286","0.3297","0.1648","0.2418","1.4286","0.1538","0.3077","0.7802","0.0989","0.011","0.0549","1.2527","0.011","0.3077","0.3077","0.3077","0.7582","0.2857","0.0879","0.3297","0.4066","1.8681","0.2418","4.8571","0.033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","26849","3607","662","39","37","550","0","492","91","0","23","0","23","260","90","87","87","13.8","0.1","0.1","0.1","2.1","0","1.9","0.3","0","0.1","0","0.1","1","0.3","0.3","0.3"
"County","state","2020","county","18","Indiana","IN","18033","Dekalb County","18033","43193","0","18162","82","16904","245","7136","695","822","224","2856","365","2624","312","3050","600","6941","53","10473","95","5454","522","989","224","106","115","2180","174","764","217","1583","268","193","86","832","195","448","142","16.7","1.6","3.7","1","16.9","2.1","9","1.1","7.1","1.4","16.1","0.1","24.2","0.2","12.7","1.2","5.9","1.3","0.3","0.3","5","0.4","4.2","1.2","8.7","1.5","1.1","0.5","4.9","1.2","1","0.3","0.2088","0.4066","0.5824","0.2308","0.4176","1.8462","0.2857","0.1648","0.7912","0.1538","0.5604","0.2198","1.89","0.1429","0.2088","0.2088","0.2088","0.5495","0.6703","0.2418","0.4505","0.1319","2.044","0.3077","5.989","0.1978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","43960","5944","799","165","106","1240","0","152","49","19","12","0","26","604","123","0","0","13.9","0","0.4","0.2","2.9","0","0.4","0.1","0","0.1","0","0.1","1.4","0.3","0","0.1"
"County","state","2020","county","18","Indiana","IN","18035","Delaware County","18035","114461","0","52677","286","46632","657","33369","1988","3586","512","12134","689","6956","596","8490","631","19584","92","20904","39","19776","1011","3422","445","330","158","15453","695","3982","496","2416","344","710","214","3608","403","7532","759","31.2","1.8","6.4","0.9","26","1.4","9.8","0.8","7.5","0.6","17.1","0.1","18.3","0","17.5","0.9","7.3","0.9","0.3","0.1","13.5","0.6","7.6","0.9","4.6","0.7","1.5","0.5","7.7","0.9","6.6","0.7","0.978","0.9341","0.8681","0.3297","0.5275","3.6374","0.9341","0.3516","0.022","0.7363","0.8132","0.2198","2.1429","0.2967","0.7802","0.7802","0.7802","0.8462","0.2857","0.4396","0.8462","0.8791","3.2968","0.8352","9.8573","0.8242","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","114839","14739","1648","7651","412","2873","0","1595","227","94","53","56","61","3050","489","134","134","13.8","0.1","6.7","0.4","2.5","0","1.4","0.2","0.1","0.1","0","0.1","2.7","0.4","0.1","0.1"
"County","state","2020","county","18","Indiana","IN","18037","Dubois County","18037","42534","0","17936","89","16691","351","6047","872","496","210","2954","425","3065","398","1809","417","7364","51","10363","62","5246","589","741","214","453","279","4263","148","912","243","674","186","172","137","782","244","1019","211","14.5","2.1","2.2","0.9","17.7","2.5","10.6","1.4","4.3","1","17.3","0.1","24.4","0.1","12.6","1.4","4.4","1.3","1.1","0.7","10","0.3","5.1","1.4","3.8","1","1","0.8","4.7","1.4","2.4","0.5","0.0769","0.022","0.6154","0.4505","0.044","1.2088","0.0989","0.3736","0.8132","0.1429","0.1538","0.7802","2.2637","0.3956","0.6374","0.6374","0.6374","0.6813","0.2198","0.1868","0.3846","0.7033","2.1758","0.3736","6.2857","0.2418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","50517","4615","759","230","98","3380","0","308","26","1","2","0","26","307","97","37","37","11.1","0.1","0.5","0.2","7.9","0","0.7","0.1","0","0.1","0","0.1","0.7","0.2","0.1","0.1"
"County","state","2020","county","18","Indiana","IN","18039","Elkhart County","18039","205184","0","79389","210","72362","763","42597","2903","4518","548","15879","1014","24605","1161","30412","1860","29989","95","56611","0","25082","1156","5660","667","5048","641","52723","1147","6638","676","5528","612","1841","332","5967","529","3621","435","21.1","1.4","4.4","0.5","21.9","1.4","18.9","0.9","15","0.9","14.6","0.1","27.6","0","12.4","0.6","7.8","0.9","2.7","0.3","25.7","0.6","8.4","0.9","7","0.8","2.5","0.5","8.2","0.7","1.8","0.2","0.5385","0.5604","0.9121","0.967","0.967","3.945","0.989","0.0769","0.967","0.1209","0.9011","0.956","3.0219","0.8022","0.956","0.956","0.956","0.9231","0.5275","0.7692","0.9121","0.5714","3.7033","0.956","11.6262","1","0","0","1","1","1","3","0","1","0","1","1","3","1","1","1","0","0","1","0","2","","235624","28507","2127","10798","698","33339","0","1892","214","327","124","76","70","5854","781","437","437","14.1","0","5.3","0.3","16.2","0","0.9","0.1","0.2","0.1","0","0.1","2.9","0.4","0.2","0.1"
"County","state","2020","county","18","Indiana","IN","18041","Fayette County","18041","23068","0","10818","83","9686","263","6695","676","471","154","2357","310","2670","336","1861","362","4610","40","5079","0","4349","408","774","182","149","138","1359","326","531","179","664","191","135","76","636","166","440","185","29.5","3","4.4","1.4","24.3","3.1","16.5","2.1","8.2","1.6","20","0.2","22","0","19.1","1.8","8","1.9","0.7","0.6","5.9","1.4","4.9","1.7","6.1","1.8","1.4","0.8","6.6","1.7","1.9","0.8","0.9231","0.5604","0.4505","0.9341","0.6593","3.5274","0.8791","0.8901","0.3407","0.9121","0.9231","0.6044","3.6704","1","0.3626","0.3626","0.3626","0.6374","0.4505","0.4066","0.7582","0.6484","2.9011","0.7253","10.4615","0.9451","1","0","0","1","0","2","0","0","1","1","0","2","0","0","0","0","0","0","0","0","","20809","4032","646","577","115","297","0","10","19","44","57","0","23","428","301","3","3","17.8","0.1","2.5","0.5","1.3","0","0","0.1","0.2","0.2","0","0.2","1.9","1.3","0","0.1"
